CANDIDATE_NAME,CONSTITUENCY_CODE,CONSTITUENCY_NAME,EVM_VOTES,PARTY,POSTAL VOTES,STATE_CODE,STATE_NAME,TOTAL_VOTES,VOTING_PERCENTAGE
S.GANESA KUMAR,9,KRISHNAGIRI,8850,Independent,17,S22,TAMIL NADU,8867,0.76
T.V.S.GANDHI,9,KRISHNAGIRI,924,Independent,10,S22,TAMIL NADU,934,0.08
K.KUPPAN,9,KRISHNAGIRI,1064,Independent,14,S22,TAMIL NADU,1078,0.09
M.KUMARESAN,9,KRISHNAGIRI,1251,Independent,8,S22,TAMIL NADU,1259,0.11
B.GOVINDAN,9,KRISHNAGIRI,5387,Independent,3,S22,TAMIL NADU,5390,0.46
DEVAPPA.Y,9,KRISHNAGIRI,1521,Independent,1,S22,TAMIL NADU,1522,0.13
NAGESH.L,9,KRISHNAGIRI,1628,Independent,1,S22,TAMIL NADU,1629,0.14
M.MEENA,9,KRISHNAGIRI,2572,Independent,12,S22,TAMIL NADU,2584,0.22
N.SRINIVASA,9,KRISHNAGIRI,5942,Independent,3,S22,TAMIL NADU,5945,0.51
DHAVAMANI A,32,MADURAI,2640,Bahujan Samaj Party,19,S22,TAMIL NADU,2659,0.26
RAJ SATYEN V.V.R,32,MADURAI,307033,All India Anna Dravida Munnetra Kazhagam,647,S22,TAMIL NADU,307680,30.28
VENKATESAN S,32,MADURAI,444152,Communist Party of India  (Marxist),2923,S22,TAMIL NADU,447075,44.0
ALAGAR P,32,MADURAI,2637,Desiya Makkal Sakthi Katchi,7,S22,TAMIL NADU,2644,0.26
ALAGAR M,32,MADURAI,84842,Makkal Needhi Maiam,206,S22,TAMIL NADU,85048,8.37
PANDIAMMAL J,32,MADURAI,42721,Naam Tamilar Katchi,180,S22,TAMIL NADU,42901,4.22
MAYALAGAN N,32,MADURAI,952,Tamil Nadu Ilangyar Katchi,3,S22,TAMIL NADU,955,0.09
ANNADURAI P,32,MADURAI,713,Independent,3,S22,TAMIL NADU,716,0.07
RAMASAMY T,32,MADURAI,915,Independent,3,S22,TAMIL NADU,918,0.09
GOPALAKRISHNAN S,32,MADURAI,549,Independent,2,S22,TAMIL NADU,551,0.05
GOPALAKRISHNAN M,32,MADURAI,1914,Independent,2,S22,TAMIL NADU,1916,0.19
SHANMUGHAM V,32,MADURAI,855,Independent,0,S22,TAMIL NADU,855,0.08
DAVID ANNADURAI K,32,MADURAI,85318,Independent,429,S22,TAMIL NADU,85747,8.44
DHARMAR P,32,MADURAI,1842,Independent,1,S22,TAMIL NADU,1843,0.18
NAGA JOTHI K,32,MADURAI,1000,Independent,0,S22,TAMIL NADU,1000,0.1
PASUMPON PANDIAN S,32,MADURAI,2271,Independent,1,S22,TAMIL NADU,2272,0.22
BALACHANDRAN T,32,MADURAI,937,Independent,0,S22,TAMIL NADU,937,0.09
PALPANDI M,32,MADURAI,2621,Independent,0,S22,TAMIL NADU,2621,0.26
BRITTO JAI SINGH M,32,MADURAI,1503,Independent,1,S22,TAMIL NADU,1504,0.15
BOOMINATHAN K,32,MADURAI,918,Independent,2,S22,TAMIL NADU,920,0.09
BOOMI RAJAN K,32,MADURAI,788,Independent,2,S22,TAMIL NADU,790,0.08
MUTHUKUMAR T,32,MADURAI,611,Independent,1,S22,TAMIL NADU,612,0.06
MOHAN N,32,MADURAI,1356,Independent,3,S22,TAMIL NADU,1359,0.13
RAMESH K.K,32,MADURAI,707,Independent,0,S22,TAMIL NADU,707,0.07
VENKATESAN M,32,MADURAI,1772,Independent,1,S22,TAMIL NADU,1773,0.17
VENKATESWARAN S,32,MADURAI,689,Independent,4,S22,TAMIL NADU,693,0.07
SHOBANA S,32,MADURAI,3133,Independent,10,S22,TAMIL NADU,3143,0.31
ASAIMANI. S,28,MAYILADUTHURAI,337448,All India Anna Dravida Munnetra Kazhagam,530,S22,TAMIL NADU,337978,30.8
RAMALINGAM. S,28,MAYILADUTHURAI,595845,Dravida Munnetra Kazhagam,3447,S22,TAMIL NADU,599292,54.62
KALYANA SUNDARAM. N,28,MAYILADUTHURAI,3173,Bahujan Samaj Party,10,S22,TAMIL NADU,3183,0.29
SUBHASHINI. K,28,MAYILADUTHURAI,40929,Naam Tamilar Katchi,127,S22,TAMIL NADU,41056,3.74
REFAYUDEEN. M,28,MAYILADUTHURAI,16954,Makkal Needhi Maiam,51,S22,TAMIL NADU,17005,1.55
HABEEB MOHAMED. U,28,MAYILADUTHURAI,892,All Pensioner’s Party,0,S22,TAMIL NADU,892,0.08
ANNADURAI. K,28,MAYILADUTHURAI,324,Independent,1,S22,TAMIL NADU,325,0.03
ABDUL BASEETH,28,MAYILADUTHURAI,368,Independent,3,S22,TAMIL NADU,371,0.03
ARAVAAZHI. K,28,MAYILADUTHURAI,609,Independent,2,S22,TAMIL NADU,611,0.06
KANNAPIRAN. M,28,MAYILADUTHURAI,465,Independent,0,S22,TAMIL NADU,465,0.04
KANNAN. R,28,MAYILADUTHURAI,431,Independent,2,S22,TAMIL NADU,433,0.04
KRITHIVASAN. S,28,MAYILADUTHURAI,902,Independent,4,S22,TAMIL NADU,906,0.08
SHANMUGAM. M,28,MAYILADUTHURAI,728,Independent,0,S22,TAMIL NADU,728,0.07
SAMIDURAI. E,28,MAYILADUTHURAI,601,Independent,2,S22,TAMIL NADU,603,0.05
SRINIVASAN. V,28,MAYILADUTHURAI,2158,Independent,0,S22,TAMIL NADU,2158,0.2
SUGUMARAN. K,28,MAYILADUTHURAI,2473,Independent,0,S22,TAMIL NADU,2473,0.23
SUBRAMANIAN. P,28,MAYILADUTHURAI,3192,Independent,0,S22,TAMIL NADU,3192,0.29
SENTHAMIZHAN. S,28,MAYILADUTHURAI,68928,Independent,102,S22,TAMIL NADU,69030,6.29
THIRUGNANASAMBANDAM. D,28,MAYILADUTHURAI,1100,Independent,1,S22,TAMIL NADU,1101,0.1
THIRUNAVUKKARASU. R,28,MAYILADUTHURAI,476,Independent,2,S22,TAMIL NADU,478,0.04
KAPPUR DHAKSHINAMOORTHY. M,28,MAYILADUTHURAI,1029,Independent,0,S22,TAMIL NADU,1029,0.09
DEVADOS. P,28,MAYILADUTHURAI,1303,Independent,0,S22,TAMIL NADU,1303,0.12
RAJASEKAR. A,28,MAYILADUTHURAI,1335,Independent,2,S22,TAMIL NADU,1337,0.12
RAJA. N,28,MAYILADUTHURAI,263,Independent,0,S22,TAMIL NADU,263,0.02
RAJESH. P,28,MAYILADUTHURAI,415,Independent,0,S22,TAMIL NADU,415,0.04
VANIDHAS. M,28,MAYILADUTHURAI,777,Independent,0,S22,TAMIL NADU,777,0.07
VILVANATHAN. M,28,MAYILADUTHURAI,1608,Independent,0,S22,TAMIL NADU,1608,0.15
ANITHA V,29,NAGAPATTINAM,5399,Bahujan Samaj Party,13,S22,TAMIL NADU,5412,0.54
SARAVANAN M,29,NAGAPATTINAM,311014,All India Anna Dravida Munnetra Kazhagam,525,S22,TAMIL NADU,311539,31.09
SELVARAJ M,29,NAGAPATTINAM,519596,Communist Party of India,3296,S22,TAMIL NADU,522892,52.17
AMBIKAPATHI D,29,NAGAPATTINAM,2904,"Makkal Sananayaga Kudiyarasu Katchi,",2,S22,TAMIL NADU,2906,0.29
GURUVIAH K,29,NAGAPATTINAM,14410,Makkal Needhi Maiam,93,S22,TAMIL NADU,14503,1.45
MALATHI P,29,NAGAPATTINAM,51207,Naam Tamilar Katchi,241,S22,TAMIL NADU,51448,5.13
VEDARETHINAM G,29,NAGAPATTINAM,894,Anti Corruption Dynamic Party,1,S22,TAMIL NADU,895,0.09
JAYALAKSHMI,29,NAGAPATTINAM,1175,Tamil Nadu Ilangyar Katchi,3,S22,TAMIL NADU,1178,0.12
SAMPATH R,29,NAGAPATTINAM,1684,Independent,2,S22,TAMIL NADU,1686,0.17
SAMBATHKUMAR A,29,NAGAPATTINAM,2099,Independent,2,S22,TAMIL NADU,2101,0.21
SIVAKUMAR P,29,NAGAPATTINAM,1268,Independent,0,S22,TAMIL NADU,1268,0.13
SENGODI T,29,NAGAPATTINAM,70177,Independent,130,S22,TAMIL NADU,70307,7.02
SOUNDARARAJAN M,29,NAGAPATTINAM,1090,Independent,0,S22,TAMIL NADU,1090,0.11
PREM S,29,NAGAPATTINAM,3117,Independent,1,S22,TAMIL NADU,3118,0.31
JAGADEESH J,29,NAGAPATTINAM,2396,Independent,6,S22,TAMIL NADU,2402,0.24
KALIAPPAN P,16,NAMAKKAL,360541,All India Anna Dravida Munnetra Kazhagam,601,S22,TAMIL NADU,361142,31.85
CHINRAJ A.K.P,16,NAMAKKAL,623370,Dravida Munnetra Kazhagam,2923,S22,TAMIL NADU,626293,55.24
RAMAN V,16,NAMAKKAL,3576,Bahujan Samaj Party,3,S22,TAMIL NADU,3579,0.32
RAMESH T,16,NAMAKKAL,967,Ahimsa Socialist Party,5,S22,TAMIL NADU,972,0.09
SENTHILMURUGAN S,16,NAMAKKAL,642,Desiya Makkal Sakthi Katchi,2,S22,TAMIL NADU,644,0.06
THANGAVELU R,16,NAMAKKAL,30842,Makkal Needhi Maiam,105,S22,TAMIL NADU,30947,2.73
BASKAR B,16,NAMAKKAL,38394,Naam Tamilar Katchi,137,S22,TAMIL NADU,38531,3.4
MANICKAM S,16,NAMAKKAL,777,Ulzaipali Makkal Katchy,0,S22,TAMIL NADU,777,0.07
MUTHUSAMY M.P.,16,NAMAKKAL,1011,Ganasangam Party of India,0,S22,TAMIL NADU,1011,0.09
ARUMUGAM V,16,NAMAKKAL,762,Independent,0,S22,TAMIL NADU,762,0.07
RAMASAMY N,16,NAMAKKAL,1866,Independent,2,S22,TAMIL NADU,1868,0.16
RAMASAMY P,16,NAMAKKAL,726,Independent,0,S22,TAMIL NADU,726,0.06
KALIYAPPAN K,16,NAMAKKAL,1818,Independent,3,S22,TAMIL NADU,1821,0.16
KALIAPPAN S,16,NAMAKKAL,1177,Independent,0,S22,TAMIL NADU,1177,0.1
KALIAPPAN P,16,NAMAKKAL,2632,Independent,0,S22,TAMIL NADU,2632,0.23
SAKTHIYVEL N.K.S,16,NAMAKKAL,4398,Independent,0,S22,TAMIL NADU,4398,0.39
SAKTHIVEL S,16,NAMAKKAL,2543,Independent,1,S22,TAMIL NADU,2544,0.22
SARAVANAVEL R,16,NAMAKKAL,2933,Independent,2,S22,TAMIL NADU,2935,0.26
SAMINATHAN P.P,16,NAMAKKAL,23319,Independent,28,S22,TAMIL NADU,23347,2.06
SIVARAJEE S,16,NAMAKKAL,341,Independent,0,S22,TAMIL NADU,341,0.03
SELLADURAI S,16,NAMAKKAL,288,Independent,0,S22,TAMIL NADU,288,0.03
SELVARAJ K.R,16,NAMAKKAL,448,Independent,0,S22,TAMIL NADU,448,0.04
CHO V,16,NAMAKKAL,459,Independent,0,S22,TAMIL NADU,459,0.04
NATARAJAN M,16,NAMAKKAL,2360,Independent,2,S22,TAMIL NADU,2362,0.21
NALLATHAMBI P,16,NAMAKKAL,526,Independent,0,S22,TAMIL NADU,526,0.05
PRABHU K,16,NAMAKKAL,587,Independent,0,S22,TAMIL NADU,587,0.05
RAMESH T.R,16,NAMAKKAL,683,Independent,0,S22,TAMIL NADU,683,0.06
VINOTHKUMAR V,16,NAMAKKAL,4853,Independent,4,S22,TAMIL NADU,4857,0.43
VIJAYAKARTHIKEYAN B,16,NAMAKKAL,2044,Independent,0,S22,TAMIL NADU,2044,0.18
ASHOK KUMAR R.,19,NILGIRIS,4082,Bahujan Samaj Party,6,S22,TAMIL NADU,4088,0.4
RAJA A.,19,NILGIRIS,545463,Dravida Munnetra Kazhagam,2369,S22,TAMIL NADU,547832,54.2
THIYAGARAJAN M.,19,NILGIRIS,341649,All India Anna Dravida Munnetra Kazhagam,360,S22,TAMIL NADU,342009,33.84
RAJENTHIRAN N.,19,NILGIRIS,41055,Makkal Needhi Maiam,114,S22,TAMIL NADU,41169,4.07
ARUMUKAM P.,19,NILGIRIS,1619,Independent,2,S22,TAMIL NADU,1621,0.16
RAMASWAMY M.,19,NILGIRIS,40392,Independent,27,S22,TAMIL NADU,40419,4.0
SUBRAMANI M.,19,NILGIRIS,5219,Independent,10,S22,TAMIL NADU,5229,0.52
NAGARAJAN A.,19,NILGIRIS,2199,Independent,0,S22,TAMIL NADU,2199,0.22
RAJARATHINAM M.,19,NILGIRIS,4746,Independent,1,S22,TAMIL NADU,4747,0.47
RAJA K.,19,NILGIRIS,3254,Independent,3,S22,TAMIL NADU,3257,0.32
SIVAPATHY N.R,25,PERAMBALUR,279439,All India Anna Dravida Munnetra Kazhagam,740,S22,TAMIL NADU,280179,25.41
DR.PAARIVENDHAR T. R,25,PERAMBALUR,677005,Dravida Munnetra Kazhagam,6692,S22,TAMIL NADU,683697,62.0
MUTHULAKSHMI R.,25,PERAMBALUR,4560,Bahujan Samaj Party,26,S22,TAMIL NADU,4586,0.42
SHANTHI K.,25,PERAMBALUR,53229,Naam Tamilar Katchi,316,S22,TAMIL NADU,53545,4.86
SENTHILVEL A.,25,PERAMBALUR,1142,Ulzaipali Makkal Katchy,5,S22,TAMIL NADU,1147,0.1
RAJASEKARAN M.,25,PERAMBALUR,953,Ezhuchi Tamilargal Munnetra Kazhagam,7,S22,TAMIL NADU,960,0.09
VINOTHKUMAR S.,25,PERAMBALUR,1611,Tamil Nadu Ilangyar Katchi,6,S22,TAMIL NADU,1617,0.15
ANNADURAI V.,25,PERAMBALUR,959,Independent,3,S22,TAMIL NADU,962,0.09
ANANDRAJ B.,25,PERAMBALUR,875,Independent,3,S22,TAMIL NADU,878,0.08
RAJASEKARAN M.,25,PERAMBALUR,45489,Independent,102,S22,TAMIL NADU,45591,4.13
UTHAMASELVAN N.,25,PERAMBALUR,983,Independent,0,S22,TAMIL NADU,983,0.09
KARUPPAIYA M.,25,PERAMBALUR,839,Independent,0,S22,TAMIL NADU,839,0.08
SABABATHI S.,25,PERAMBALUR,885,Independent,0,S22,TAMIL NADU,885,0.08
SURESH K.,25,PERAMBALUR,1381,Independent,4,S22,TAMIL NADU,1385,0.13
PACHAMUTHU P.,25,PERAMBALUR,3336,Independent,0,S22,TAMIL NADU,3336,0.3
MURUGAN P.,25,PERAMBALUR,4311,Independent,2,S22,TAMIL NADU,4313,0.39
RAJASEKARAN T.,25,PERAMBALUR,2455,Independent,0,S22,TAMIL NADU,2455,0.22
VINCENT MELBONE J.,25,PERAMBALUR,3170,Independent,1,S22,TAMIL NADU,3171,0.29
JAVEED HUSSAIN T.,25,PERAMBALUR,913,Independent,0,S22,TAMIL NADU,913,0.08
GANESHA MOORTHY. A,21,POLLACHI,3177,Bahujan Samaj Party,10,S22,TAMIL NADU,3187,0.29
SHANMUGA SUNDARAM. K,21,POLLACHI,550905,Dravida Munnetra Kazhagam,3325,S22,TAMIL NADU,554230,51.23
MAHENDRAN. C,21,POLLACHI,377546,All India Anna Dravida Munnetra Kazhagam,801,S22,TAMIL NADU,378347,34.97
SANUJA. U,21,POLLACHI,31399,Naam Tamilar Katchi,84,S22,TAMIL NADU,31483,2.91
MOOKAMBIKA. R,21,POLLACHI,59545,Makkal Needhi Maiam,148,S22,TAMIL NADU,59693,5.52
ANSARI. S,21,POLLACHI,908,Independent,0,S22,TAMIL NADU,908,0.08
SHANMUGA SUNDARAM. K.N.,21,POLLACHI,711,Independent,3,S22,TAMIL NADU,714,0.07
SHANMUGA SUNDARAM. V,21,POLLACHI,1271,Independent,2,S22,TAMIL NADU,1273,0.12
BALAJI. G,21,POLLACHI,804,Independent,2,S22,TAMIL NADU,806,0.07
MANICKAVEL. C,21,POLLACHI,533,Independent,1,S22,TAMIL NADU,534,0.05
MUTHUKUMAR. C,21,POLLACHI,943,Independent,0,S22,TAMIL NADU,943,0.09
MUTHUKUMAR. S,21,POLLACHI,26631,Independent,32,S22,TAMIL NADU,26663,2.46
RAMASAMY. K,21,POLLACHI,2734,Independent,3,S22,TAMIL NADU,2737,0.25
RAJENDHIRAN. R.G.,21,POLLACHI,5245,Independent,2,S22,TAMIL NADU,5247,0.48
NAINAR NAGENTHRAN,35,RAMANATHAPURAM,341304,Bharatiya Janata Party,1517,S22,TAMIL NADU,342821,32.16
K. PANCHATCHARAM,35,RAMANATHAPURAM,3659,Bahujan Samaj Party,22,S22,TAMIL NADU,3681,0.35
G. KESAV YADAV,35,RAMANATHAPURAM,2875,Purvanchal Janta Party (Secular),8,S22,TAMIL NADU,2883,0.27
K. NAVASKANI,35,RAMANATHAPURAM,467585,Indian Union Muslim League,2358,S22,TAMIL NADU,469943,44.08
T. BHUVANESWARI,35,RAMANATHAPURAM,46125,Naam Tamilar Katchi,260,S22,TAMIL NADU,46385,4.35
P. LOGANATHAN,35,RAMANATHAPURAM,1872,Pragatishil Samajwadi Party (Lohia),5,S22,TAMIL NADU,1877,0.18
VIJAYA BASKAR,35,RAMANATHAPURAM,14802,Makkal Needhi Maiam,123,S22,TAMIL NADU,14925,1.4
ASAN ALI. A,35,RAMANATHAPURAM,1440,Independent,3,S22,TAMIL NADU,1443,0.14
ALLA PICHAI,35,RAMANATHAPURAM,883,Independent,0,S22,TAMIL NADU,883,0.08
ANANDARAJ. M,35,RAMANATHAPURAM,1458,Independent,2,S22,TAMIL NADU,1460,0.14
C. ANANTH,35,RAMANATHAPURAM,4714,Independent,7,S22,TAMIL NADU,4721,0.44
V.D.N. ANANDH. B.E.,35,RAMANATHAPURAM,141195,Independent,611,S22,TAMIL NADU,141806,13.3
N. KATHIRAVAN,35,RAMANATHAPURAM,1789,Independent,0,S22,TAMIL NADU,1789,0.17
KARUPPASAMY. N,35,RAMANATHAPURAM,2277,Independent,6,S22,TAMIL NADU,2283,0.21
B. KRISHNARAJA,35,RAMANATHAPURAM,979,Independent,1,S22,TAMIL NADU,980,0.09
K. KURUNTHAPPAN,35,RAMANATHAPURAM,4595,Independent,1,S22,TAMIL NADU,4596,0.43
DEVA SITHAM. I,35,RAMANATHAPURAM,4178,Independent,21,S22,TAMIL NADU,4199,0.39
PRABHAKARAN. S,35,RAMANATHAPURAM,1798,Independent,0,S22,TAMIL NADU,1798,0.17
S. MOHAMED ALI JINNAH,35,RAMANATHAPURAM,1459,Independent,1,S22,TAMIL NADU,1460,0.14
RAJANIKANTH AGAMUDAIYAR,35,RAMANATHAPURAM,3536,Independent,14,S22,TAMIL NADU,3550,0.33
V. VINAYAGAMOORTHY,35,RAMANATHAPURAM,1367,Independent,0,S22,TAMIL NADU,1367,0.13
JAWAHIRALI. H,35,RAMANATHAPURAM,2295,Independent,1,S22,TAMIL NADU,2296,0.22
JEYAPANDIAN. R,35,RAMANATHAPURAM,1403,Independent,2,S22,TAMIL NADU,1405,0.13
SADAIYAN.M,15,SALEM,3528,Bahujan Samaj Party,15,S22,TAMIL NADU,3543,0.28
SARAVANAN.K.R.S,15,SALEM,458118,All India Anna Dravida Munnetra Kazhagam,1258,S22,TAMIL NADU,459376,36.59
PARTHIBAN.S.R,15,SALEM,602453,Dravida Munnetra Kazhagam,3849,S22,TAMIL NADU,606302,48.29
SILAMBARASAN.C,15,SALEM,4561,Tamil Nadu Ilangyar Katchi,2,S22,TAMIL NADU,4563,0.36
PRABHU MANIKANDAN.M,15,SALEM,58472,Makkal Needhi Maiam,190,S22,TAMIL NADU,58662,4.67
MOHAN.P,15,SALEM,776,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1,S22,TAMIL NADU,777,0.06
RASA.A,15,SALEM,33741,Naam Tamilar Katchi,149,S22,TAMIL NADU,33890,2.7
AHAMED SHAHJAHAN.M,15,SALEM,1367,Independent,2,S22,TAMIL NADU,1369,0.11
KALAIMANNAN.C,15,SALEM,635,Independent,1,S22,TAMIL NADU,636,0.05
SIVARAMAN.S,15,SALEM,4268,Independent,5,S22,TAMIL NADU,4273,0.34
SURULIVEL.N.K,15,SALEM,1101,Independent,1,S22,TAMIL NADU,1102,0.09
SELVAM.S.K,15,SALEM,52252,Independent,80,S22,TAMIL NADU,52332,4.17
TAMILARASAN.T,15,SALEM,1144,Independent,4,S22,TAMIL NADU,1148,0.09
NATARAJAN.C,15,SALEM,1678,Independent,1,S22,TAMIL NADU,1679,0.13
PRAVINA.G,15,SALEM,1459,Independent,2,S22,TAMIL NADU,1461,0.12
MANIMARAN.C,15,SALEM,1989,Independent,2,S22,TAMIL NADU,1991,0.16
MADESWARAN.S,15,SALEM,773,Independent,0,S22,TAMIL NADU,773,0.06
MURTHY KAMARAJAR.M,15,SALEM,1464,Independent,1,S22,TAMIL NADU,1465,0.12
RAVI.A,15,SALEM,1554,Independent,2,S22,TAMIL NADU,1556,0.12
RAMACHANDRAN.K.T,15,SALEM,438,Independent,2,S22,TAMIL NADU,440,0.04
RAJA.A,15,SALEM,447,Independent,3,S22,TAMIL NADU,450,0.04
HARIHARAN.K,15,SALEM,539,Independent,2,S22,TAMIL NADU,541,0.04
KARTI P CHIDAMBARAM,31,SIVAGANGA,564002,Indian National Congress,2102,S22,TAMIL NADU,566104,52.2
SARAVANAN.K,31,SIVAGANGA,5068,Bahujan Samaj Party,11,S22,TAMIL NADU,5079,0.47
H.RAJA,31,SIVAGANGA,233295,Bharatiya Janata Party,565,S22,TAMIL NADU,233860,21.56
V.SAKTHI PRIYA,31,SIVAGANGA,71991,Naam Tamilar Katchi,249,S22,TAMIL NADU,72240,6.66
KAVINGNAR SNEKAN,31,SIVAGANGA,22846,Makkal Needhi Maiam,85,S22,TAMIL NADU,22931,2.11
ARIMALAM THIAGI.SUBRAMANIAN MUTHURAJA,31,SIVAGANGA,1275,Agila India Makkal Kazhagam,8,S22,TAMIL NADU,1283,0.12
M.PRABHAKARAN,31,SIVAGANGA,1226,Tamil Nadu Ilangyar Katchi,5,S22,TAMIL NADU,1231,0.11
A.VELLADURAI,31,SIVAGANGA,2552,Ezhuchi Tamilargal Munnetra Kazhagam,1,S22,TAMIL NADU,2553,0.24
A.ANTONY SESU RAJA,31,SIVAGANGA,1187,Independent,4,S22,TAMIL NADU,1191,0.11
L.KASINATHAN,31,SIVAGANGA,1786,Independent,3,S22,TAMIL NADU,1789,0.16
N.KARTHICK,31,SIVAGANGA,1422,Independent,0,S22,TAMIL NADU,1422,0.13
C.SARAVANAN,31,SIVAGANGA,2094,Independent,3,S22,TAMIL NADU,2097,0.19
SINGADURAI.R,31,SIVAGANGA,3966,Independent,10,S22,TAMIL NADU,3976,0.37
C.CHIDAMBARAM,31,SIVAGANGA,1261,Independent,0,S22,TAMIL NADU,1261,0.12
M.CHINNAIAH,31,SIVAGANGA,1248,Independent,0,S22,TAMIL NADU,1248,0.12
SENTHAMILSELVI.R,31,SIVAGANGA,3449,Independent,4,S22,TAMIL NADU,3453,0.32
SENTHIL KUMAR.C,31,SIVAGANGA,4690,Independent,0,S22,TAMIL NADU,4690,0.43
K.CHELLAKKANNU,31,SIVAGANGA,3951,Independent,1,S22,TAMIL NADU,3952,0.36
P.SELVARAJ,31,SIVAGANGA,2483,Independent,2,S22,TAMIL NADU,2485,0.23
R.NATARAJAN,31,SIVAGANGA,1284,Independent,0,S22,TAMIL NADU,1284,0.12
V.PANDI,31,SIVAGANGA,122325,Independent,209,S22,TAMIL NADU,122534,11.3
M.MOHAMMED RABEEK,31,SIVAGANGA,1441,Independent,0,S22,TAMIL NADU,1441,0.13
A.RADHA KRISHNAN,31,SIVAGANGA,905,Independent,0,S22,TAMIL NADU,905,0.08
M.RAJASEKAR,31,SIVAGANGA,2140,Independent,0,S22,TAMIL NADU,2140,0.2
M.RAJA,31,SIVAGANGA,2866,Independent,3,S22,TAMIL NADU,2869,0.26
P.RAJENDHIRAN,31,SIVAGANGA,11159,Independent,8,S22,TAMIL NADU,11167,1.03
ANTONY.M,5,SRIPERUMBUDUR,6793,Bahujan Samaj Party,15,S22,TAMIL NADU,6808,0.48
BAALU.T.R.,5,SRIPERUMBUDUR,790750,Dravida Munnetra Kazhagam,2531,S22,TAMIL NADU,793281,56.39
GODWIN SHADRACH S R,5,SRIPERUMBUDUR,3598,Tamizhaga Murpokku Makkal Katchi,1,S22,TAMIL NADU,3599,0.26
PALANIVEL.K,5,SRIPERUMBUDUR,2611,Communist Party of India  (Marxist-Leninist)  (Liberation),7,S22,TAMIL NADU,2618,0.19
MAHENDRAN.H,5,SRIPERUMBUDUR,84855,Naam Tamilar Katchi,124,S22,TAMIL NADU,84979,6.04
RAJASEKARAN S,5,SRIPERUMBUDUR,13740,Anti Corruption Dynamic Party,6,S22,TAMIL NADU,13746,0.98
VAITHILINGAM A,5,SRIPERUMBUDUR,284673,Pattali Makkal Katchi,653,S22,TAMIL NADU,285326,20.28
SRIDHAR M,5,SRIPERUMBUDUR,135383,Makkal Needhi Maiam,142,S22,TAMIL NADU,135525,9.63
ANANTHARAMAN R K,5,SRIPERUMBUDUR,935,Independent,6,S22,TAMIL NADU,941,0.07
AYODHI L,5,SRIPERUMBUDUR,4046,Independent,4,S22,TAMIL NADU,4050,0.29
INDIAN.P.N.K.,5,SRIPERUMBUDUR,1184,Independent,1,S22,TAMIL NADU,1185,0.08
SASIKUMAR A,5,SRIPERUMBUDUR,803,Independent,1,S22,TAMIL NADU,804,0.06
SINGARAJAN S P,5,SRIPERUMBUDUR,738,Independent,0,S22,TAMIL NADU,738,0.05
TAMBARAM NARAYANAN G,5,SRIPERUMBUDUR,41446,Independent,51,S22,TAMIL NADU,41497,2.95
MUTHUMARAN K,5,SRIPERUMBUDUR,1371,Independent,0,S22,TAMIL NADU,1371,0.1
RAJA MARIMUTHU,5,SRIPERUMBUDUR,2268,Independent,0,S22,TAMIL NADU,2268,0.16
VASANTHI S,5,SRIPERUMBUDUR,2014,Independent,4,S22,TAMIL NADU,2018,0.14
VIRUTHAGIRI A,5,SRIPERUMBUDUR,1799,Independent,1,S22,TAMIL NADU,1800,0.13
VAITHIYALINGAM R,5,SRIPERUMBUDUR,883,Independent,2,S22,TAMIL NADU,885,0.06
DR.KRISHNASAMY.K,37,TENKASI,354216,All India Anna Dravida Munnetra Kazhagam,1654,S22,TAMIL NADU,355870,33.4
DHANUSH.M.KUMAR,37,TENKASI,470346,Dravida Munnetra Kazhagam,5810,S22,TAMIL NADU,476156,44.69
MATHIVANAN.S.S,37,TENKASI,58855,Naam Tamilar Katchi,590,S22,TAMIL NADU,59445,5.58
MUNESHWARAN. K,37,TENKASI,23844,Makkal Needhi Maiam,179,S22,TAMIL NADU,24023,2.25
RAVI. K,37,TENKASI,1165,Anti Corruption Dynamic Party,29,S22,TAMIL NADU,1194,0.11
SIVAJAYAPRAKASH.S,37,TENKASI,1939,Independent,8,S22,TAMIL NADU,1947,0.18
SUNDARAM.N,37,TENKASI,1486,Independent,4,S22,TAMIL NADU,1490,0.14
SUBBIAH. S,37,TENKASI,804,Independent,4,S22,TAMIL NADU,808,0.08
SURIYARAGUPATHI. T,37,TENKASI,3000,Independent,2,S22,TAMIL NADU,3002,0.28
SELVAKUMAR. M,37,TENKASI,2222,Independent,8,S22,TAMIL NADU,2230,0.21
THANGARAJ. C,37,TENKASI,723,Independent,4,S22,TAMIL NADU,727,0.07
DHANUSKODI.P,37,TENKASI,1241,Independent,4,S22,TAMIL NADU,1245,0.12
THAMARAI SELVAM. K,37,TENKASI,1471,Independent,2,S22,TAMIL NADU,1473,0.14
DEEPAN ARUN.A,37,TENKASI,1964,Independent,1,S22,TAMIL NADU,1965,0.18
PALANI SAMY.S,37,TENKASI,2946,Independent,4,S22,TAMIL NADU,2950,0.28
BHARATHARAJ. S,37,TENKASI,4226,Independent,0,S22,TAMIL NADU,4226,0.4
PERUMALSAMY. S,37,TENKASI,4327,Independent,7,S22,TAMIL NADU,4334,0.41
PONNUSAMY.R,37,TENKASI,3302,Independent,4,S22,TAMIL NADU,3306,0.31
PONNUTHAI.G,37,TENKASI,2424,Independent,3,S22,TAMIL NADU,2427,0.23
